assay_type,canonical_smiles,molecule_chembl_id,standard_type,standard_units,standard_value,type,units,value,query_label,query_standard_type,units_hint,dataset
A,N#CCNC(=O)C1(NC(=O)c2ccc(-c3ccc(OC4CCN(CCO)CC4)cc3)cc2)CCCCC1,CHEMBL372410,Vdss,L.kg-1,25.3,Vss,L/kg,25.3,volume_distribution,VDss,(L/kg|L),ChEMBL
A,CN1CCC(Oc2ccc(-c3ccc(C(=O)NC4(C(=O)NCC#N)CCCCC4)cc3)cc2)CC1,CHEMBL200426,Vdss,L.kg-1,11.1,Vss,L/kg,11.1,volume_distribution,VDss,(L/kg|L),ChEMBL
A,CC(C)(C)N1CCN(c2ccc(-c3ccc(C(=O)NC4(C(=O)NCC#N)CCCCC4)cc3)cc2)CC1,CHEMBL200672,Vdss,L.kg-1,11.2,Vss,L/kg,11.2,volume_distribution,VDss,(L/kg|L),ChEMBL
A,CC(C)(C)NC1CCN(c2ccc(-c3ccc(C(=O)NC4(C(=O)NCC#N)CCCCC4)cc3)cc2)CC1,CHEMBL199163,Vdss,L.kg-1,10.7,Vss,L/kg,10.7,volume_distribution,VDss,(L/kg|L),ChEMBL
A,COCCN1CCC(Oc2ccc(-c3ccc(C(=O)NC4(C(=O)NCC#N)CCCCC4)cc3)cc2)CC1,CHEMBL199214,Vdss,L.kg-1,3.27,Vss,L/kg,3.27,volume_distribution,VDss,(L/kg|L),ChEMBL
A,CN1CCCC(Oc2ccc(-c3ccc(C(=O)NC4(C(=O)NCC#N)CCCCC4)cc3)cc2)C1,CHEMBL435913,Vdss,L.kg-1,8.46,Vss,L/kg,8.46,volume_distribution,VDss,(L/kg|L),ChEMBL
A,N#CCNC(=O)C1(NC(=O)c2ccc(-c3ccc(S(=O)(=O)N4CCN(CC(F)(F)F)CC4)cc3)cc2)CCCCC1,CHEMBL197440,Vdss,L.kg-1,1.55,Vss,L/kg,1.55,volume_distribution,VDss,(L/kg|L),ChEMBL
A,N#CCNC(=O)C1(NC(=O)c2ccc(-c3ccc(S(=O)(=O)N4CCNCC4)cc3)cc2)CCCCC1,CHEMBL370165,Vdss,L.kg-1,3.29,Vss,L/kg,3.29,volume_distribution,VDss,(L/kg|L),ChEMBL
A,N#CCNC(=O)C1(NC(=O)c2ccc(-c3ccc(C4(F)CCNCC4)cc3)cc2)CCCCC1,CHEMBL200788,Vdss,L.kg-1,1.76,Vss,L/kg,1.76,volume_distribution,VDss,(L/kg|L),ChEMBL
A,CN1CCN(c2nc(-c3ccc(C(=O)NC4(C(=O)NCC#N)CCCCC4)cc3)cs2)CC1,CHEMBL426819,Vdss,L.kg-1,11.0,Vdss,L/kg,11.0,volume_distribution,VDss,(L/kg|L),ChEMBL
A,CCCN1CCN(c2ccc(C(=O)NC3(C(=O)NCC#N)CCCCC3)cc2)CC1,CHEMBL371064,Vdss,L.kg-1,4.7,Vdss,L/kg,4.7,volume_distribution,VDss,(L/kg|L),ChEMBL
A,N#CCNC(=O)C1(NC(=O)c2ccc(N3CCOCC3)cc2)CCCCC1,CHEMBL200301,Vdss,L.kg-1,1.9,Vdss,L/kg,1.9,volume_distribution,VDss,(L/kg|L),ChEMBL
A,C[C@H]1O[C@@H](n2cc(-c3ccccc3)c3c(NCC(=O)NC4CC4)ncnc32)[C@H](O)[C@@H]1O,CHEMBL371909,Vdss,L.kg-1,3.3,Vdss,L/kg,3.3,volume_distribution,VDss,(L/kg|L),ChEMBL
A,C[C@H]1O[C@@H](n2cc(-c3ccccc3)c3c(NCC(=O)NC4CC4)ncnc32)[C@H](O)[C@@H]1O,CHEMBL371909,Vdss,L.kg-1,6.3,Vdss,L/kg,6.3,volume_distribution,VDss,(L/kg|L),ChEMBL
A,CCOc1cc(OCC)cc(C(Nc2ccc(C(=N)N)cc2)C(=O)O)c1,CHEMBL199271,Vdss,L.kg-1,0.3,Vdss,L/kg,0.3,volume_distribution,VDss,(L/kg|L),ChEMBL
A,CCOc1cc(O[C@H]2CCOC2)cc(C(Nc2ccc(C(=N)N)cc2)C(=O)O)c1,CHEMBL198843,Vdss,L.kg-1,0.5,Vdss,L/kg,0.5,volume_distribution,VDss,(L/kg|L),ChEMBL
A,CC1(C)C=C(c2cc(-c3ccc(F)cc3Cl)c3ccc(=O)n(-c4c(Cl)cccc4Cl)c3c2)CC(C)(C)N1,CHEMBL369989,Vdss,L.kg-1,7.32,Vdss,L/kg,7.32,volume_distribution,VDss,(L/kg|L),ChEMBL
A,CC(C)(C)N1CCC(Oc2cc(-c3ccccc3Cl)c3ccc(=O)n(-c4c(Cl)cccc4Cl)c3c2)CC1,CHEMBL199707,Vdss,L.kg-1,6.17,Vdss,L/kg,6.17,volume_distribution,VDss,(L/kg|L),ChEMBL
A,C[C@@H](C(=O)O)N1CCC(c2cc(-c3ccc(F)cc3Cl)c3ccc(=O)n(-c4c(Cl)cccc4Cl)c3c2)CC1,CHEMBL199565,Vdss,L.kg-1,0.7,Vdss,L/kg,0.7,volume_distribution,VDss,(L/kg|L),ChEMBL
A,CC(C)(C)N1CCC(c2cc3c(ccc(=O)n3-c3c(Cl)cccc3Cl)c(-c3ccccc3Cl)n2)CC1,CHEMBL424666,Vdss,L.kg-1,10.1,Vdss,L/kg,10.1,volume_distribution,VDss,(L/kg|L),ChEMBL
A,CC(C)(C)N1CCC(c2cc3c(ccc(=O)n3-c3c(Cl)cccc3Cl)c(-c3ccc(F)cc3F)n2)CC1,CHEMBL199625,Vdss,L.kg-1,24.0,Vdss,L/kg,24.0,volume_distribution,VDss,(L/kg|L),ChEMBL
A,CC(C)(C)N1CCC(c2cc3c(ccc(=O)n3-c3c(Cl)cccc3Cl)c(-c3ccc(F)cc3Cl)n2)CC1,CHEMBL199291,Vdss,L.kg-1,11.4,Vdss,L/kg,11.4,volume_distribution,VDss,(L/kg|L),ChEMBL
A,CC(C)(C)N1CCC(c2cc(-c3ccc(F)cc3Cl)c3ccc(=O)n(-c4c(F)cccc4F)c3c2)CC1,CHEMBL199484,Vdss,L.kg-1,3.77,Vdss,L/kg,3.77,volume_distribution,VDss,(L/kg|L),ChEMBL
A,CC(C)(C)N1CCC(c2cc(-c3ccc(F)cc3F)c3ccc(=O)n(-c4c(Cl)cccc4Cl)c3c2)CC1,CHEMBL199679,Vdss,L.kg-1,3.82,Vdss,L/kg,3.82,volume_distribution,VDss,(L/kg|L),ChEMBL
A,CC(C)(C)N1CCC(c2cc(-c3ccc(F)cc3Cl)c3ccc(=O)n(-c4c(Cl)cccc4Cl)c3c2)CC1,CHEMBL381632,Vdss,L.kg-1,3.84,Vdss,L/kg,3.84,volume_distribution,VDss,(L/kg|L),ChEMBL
