compound,dose,cl_hepatic,cl_renal,cl_total,kp_mean,kp_min,kp_max,c0_expected,c0_pred,c0_ratio,pred_cmax,obs_cmax,cmax_ratio,pred_auc,obs_auc,auc_ratio
O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O,100.0,0.03974558785557747,0.01324852928519249,0.05299411714076996,0.16499997675418854,0.029999999329447746,1.0,20.0,20.0,1.0,20.0,,,3.2571768760681152,,
CCOc1ccc(NC(C)=O)cc1,100.0,0.7909238934516907,0.2636412978172302,1.054565191268921,0.16499997675418854,0.029999999329447746,1.0,20.0,20.0,1.0,20.0,,,3.2640857696533203,,
COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,100.0,0.08121094107627869,0.027070311829447746,0.10828125476837158,0.16499997675418854,0.029999999329447746,1.0,20.0,20.0,1.0,20.0,,,3.257542133331299,,
Nc1cc(-c2ccncc2)c[nH]c1=O,100.0,0.33783748745918274,0.11261250078678131,0.45045000314712524,0.16499997675418854,0.029999999329447746,1.0,20.0,20.0,1.0,20.0,,,3.2598977088928223,,
COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,100.0,0.2887499928474426,0.09624999761581421,0.38499999046325684,0.16499997675418854,0.029999999329447746,1.0,20.0,20.0,1.0,20.0,,,3.2594618797302246,,
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,100.0,0.5330769419670105,0.17769230902194977,0.7107692360877991,0.16499997675418854,0.029999999329447746,1.0,20.0,20.0,1.0,20.0,,,3.2616171836853027,,
CN1C(=O)CN=C(c2ccccc2F)c2cc([N+](=O)[O-])ccc21,100.0,0.03950100019574165,0.013167000375688076,0.052668001502752304,0.16499997675418854,0.029999999329447746,1.0,20.0,20.0,1.0,20.0,,,3.257174491882324,,
NNC(=O)c1ccncc1,100.0,0.4261949956417084,0.14206500351428986,0.5682600140571594,0.16499997675418854,0.029999999329447746,1.0,20.0,20.0,1.0,20.0,,,3.2606821060180664,,
Cc1ccccc1N1C(=O)c2cc(S(N)(=O)=O)c(Cl)cc2NC1C,100.0,0.04157999902963638,0.013860000297427177,0.05544000118970871,0.16499997675418854,0.029999999329447746,1.0,20.0,20.0,1.0,20.0,,,3.2571933269500732,,
Cn1cc[nH]c1=S,100.0,0.18624374270439148,0.06208125129342079,0.24832499027252197,0.16499997675418854,0.029999999329447746,1.0,20.0,20.0,1.0,20.0,,,3.258497714996338,,
