canonical_smiles,fu,vd,clearance,source,split_original,chembl_id,priority
C#C[C@@]1(O)[C@@H](COC(Cc2ccccc2)(C(=O)O)C(=O)O)O[C@@H](n2cnc3c(NC)nc(Cl)nc32)[C@@H]1O,,,10.0,ChEMBL,,CHEMBL5421027,1
C#C[C@@]1(O)[C@@H](COC(Cc2ccccc2)(C(=O)O)C(=O)O)O[C@@H](n2cnc3c(NCC)nc(Cl)nc32)[C@@H]1O,,,7.8,ChEMBL,,CHEMBL5435185,1
C#C[C@@]1(O)[C@@H](COC(Cc2ccccc2)(C(=O)O)C(=O)O)O[C@@H](n2cnc3c(NCC4CC4)nc(Cl)nc32)[C@@H]1O,,,3.7,ChEMBL,,CHEMBL5417110,1
C#C[C@@]1(O)[C@@H](COC(Cc2ccccc2)(C(=O)O)C(=O)O)O[C@@H](n2cnc3c(NCCO)nc(Cl)nc32)[C@@H]1O,,,7.5,ChEMBL,,CHEMBL5404674,1
C#C[C@@]1(O)[C@@H](COC(Cc2ccccc2)(C(=O)O)C(=O)O)O[C@@H](n2cnc3c(NCc4ccccc4)nc(Cl)nc32)[C@@H]1O,,,6.3,ChEMBL,,CHEMBL5419527,1
C#C[C@@]1(O)[C@@H](COC(Cc2ccccc2)(C(=O)O)C(=O)O)O[C@@H](n2cnc3c(N[C@@H](C)c4ccccc4)nc(Cl)nc32)[C@@H]1O,,,9.2,ChEMBL,,CHEMBL5409033,1
C#C[C@@]1(O)[C@@H](COC(Cc2ccccc2)(C(=O)O)C(=O)O)O[C@@H](n2cnc3c(N[C@H](C)c4ccccc4)nc(Cl)nc32)[C@@H]1O,,,1.0,ChEMBL,,CHEMBL5410317,1
C#C[C@@]1(O)[C@H](O)[C@@H](CO)O[C@H]1n1cc(C(N)=O)c2c(N)ncnc21,,1.4849999999999999,15.43,ChEMBL,,CHEMBL1630219,1
C#C[C@H](CC(=O)OCC)NC(=O)CCC(=O)Nc1ccc(C(=N)N)cc1,,,8.0,ChEMBL,,CHEMBL76098,1
C#C[C@H](CC(N)=O)NC(=O)[C@@H]1CC2(CC2)CN1C(=O)C1(c2ccc(OC(F)(F)F)cc2)CC1,,,20.0,ChEMBL,,CHEMBL5400935,1
C#C[C@H](CC(N)=O)NC(=O)[C@@H]1CCCN1C(=O)C1(c2ccc(OC(F)(F)F)cc2)CC1,0.29,,27.0,ChEMBL,,CHEMBL5399273,1
C#C[C@H](CC(N)=O)NC(=O)[C@@H]1CCCN1C(=O)[C@]1(c2ccc(OC(F)(F)F)cc2)C[C@H](OC)C1,0.4,,10.0,ChEMBL,,CHEMBL5430648,1
C#C[C@H](CC(N)=O)NC(=O)[C@@H]1COCCN1C(=O)C1(c2ccc(OC(F)(F)F)cc2)CC1,,,18.0,ChEMBL,,CHEMBL5420681,1
C#C[C@H](CC(N)=O)NC(=O)[C@@H]1C[C@@H](C)CN1C(=O)C1(c2ccc(OC(F)(F)F)cc2)CC1,,,10.0,ChEMBL,,CHEMBL5431473,1
C#C[C@H](CC(N)=O)NC(=O)[C@@H]1C[C@@H](F)CN1C(=O)C1(c2ccc(OC(F)(F)F)cc2)CC1,0.29500000000000004,,10.0,ChEMBL,,CHEMBL5396266,1
C#C[C@H](CC(N)=O)NC(=O)[C@@H]1C[C@H](C)CN1C(=O)C1(c2ccc(OC(F)(F)F)cc2)CC1,,,18.0,ChEMBL,,CHEMBL5420132,1
C#C[C@H](CC(N)=O)NC(=O)[C@@H]1C[C@H]2C[C@H]2N1C(=O)C1(c2ccc(OC(F)(F)F)cc2)CC1,,,26.0,ChEMBL,,CHEMBL5394446,1
C#C[C@H](CC(N)=O)NC(=O)[C@@H]1[C@@H]2[C@H](CN1C(=O)C1(c3ccc(OC(F)(F)F)cc3)CC1)C2(C)C,,,18.0,ChEMBL,,CHEMBL5407269,1
C#C[C@H](CC(N)=O)NC(=O)[C@@H]1c2ccccc2CN1C(=O)C1(c2ccc(OC(F)(F)F)cc2)CC1,,,10.0,ChEMBL,,CHEMBL5415184,1
C#C[C@H](O)C#Cc1ccc(CCCCCCCC)cc1,,5.58,77.5,ChEMBL,,CHEMBL5421588,1
C#C[C@H]1CC[C@@H](C#N)N1C(=O)CNC1(C)CCN(c2cc(C(=O)O)ccn2)CC1,,1.85,11.33,ChEMBL,,CHEMBL386369,1
C#C[C@]1(CO)C[C@@H](n2cnc3c(=O)[nH]c(N)nc32)C[C@@H]1O,,,32.4,ChEMBL,,CHEMBL4208770,1
C#C[C@]1(CO)O[C@@H](n2cnc3c(N)nc(F)nc32)C[C@@H]1O,,,72.0,ChEMBL,,CHEMBL517231,1
C#C[C@]1(O)C=C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC,0.023,0.46,0.8,ChEMBL,,CHEMBL1213583,1
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC,0.025,1.5,1.8,ChEMBL,,CHEMBL1389,1
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,0.014,17.0,6.0,ChEMBL,,CHEMBL691,1
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3[C@@H](OC)C[C@@]21C,,1.015,4.2,ChEMBL,,CHEMBL1628161,1
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OS(=O)(=O)O)ccc4[C@H]3CC[C@@]21C,0.011,2.3,4.7,ChEMBL,,CHEMBL1614648,1
C#C[C@]1(O)C[C@H]2CC[C@@H](C1)N2c1ccc(C#N)c2ccccc12,,,58.0,ChEMBL,,CHEMBL3084692,1
C#C[C@]1(OS(=O)(=O)O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,,0.61,1.3,ChEMBL,,CHEMBL1614647,1
C#Cc1c(F)ccc2cc(O)cc(-c3ncc4c(N5C[C@H]6CC[C@@H](C5)N6)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)c12,,,28.700000000000003,ChEMBL,,CHEMBL5081048,1
C#Cc1c(N)ncnc1N[C@@H](C)c1nc2cccc(Cl)c2c(=O)n1-c1ccccc1,,,11.0,ChEMBL,,CHEMBL3805572,1
C#Cc1c[nH]nc1-c1nc(-c2ccc(Oc3ccc(C(F)(F)F)cc3)cc2)no1,,,2.4,ChEMBL,,CHEMBL3408058,1
C#Cc1cc(CN2CCN(C(=O)C=C)CC2)cc(F)c1-c1c(O)cccc1Cl,,,18.0,ChEMBL,,CHEMBL5436936,1
C#Cc1cc(NC(=O)c2ccc(-c3ccnnc3)nn2)c(C(=O)O)cc1F,,,37.8,ChEMBL,,CHEMBL5424638,1
C#Cc1cc2c(c(F)c1-c1c(O)cccc1Cl)OC[C@H]1CN(C(=O)C=C)CCN1C2,,,16.0,ChEMBL,,CHEMBL5431111,1
C#Cc1cc2c(cc1N1CCN(C3COC3)CC1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O,,,10.5,ChEMBL,,CHEMBL1823220,1
C#Cc1ccc(-c2cc3c(c(-c4cnc(OC)c(NS(C)(=O)=O)c4)c2)CNC3=O)cn1,,1.0,74.3,ChEMBL,,CHEMBL4867101,1
C#Cc1ccc(/C=C/c2nc3ccccc3c(=O)n2-c2cccc(C(=O)O)c2)cc1,,,6.4,ChEMBL,,CHEMBL3819187,1
C#Cc1ccc(/C=C/c2nc3ccccc3c(=O)n2-c2cccc(C(=O)[O-])c2)cc1.[Na+],,3.58,10.0,ChEMBL,,CHEMBL3818678,1
C#Cc1ccc(/C=C/c2nc3ccccc3c(=O)n2-c2cccc(S(N)(=O)=O)c2)cc1,,,19.1,ChEMBL,,CHEMBL4531804,1
C#Cc1ccc(NC(=O)c2cc(Cl)ccc2NC(=O)c2ccc(C(=N)N(C)C)cc2)nc1,,,100.0,ChEMBL,,CHEMBL513218,1
C#Cc1ccc(NC(=O)c2ccc(C(=N)N(C)C)cc2)c(C(=O)Nc2ccc(Cl)cn2)c1,,,74.8,ChEMBL,,CHEMBL475553,1
C#Cc1ccc(Nc2c(C(=O)NOCCO)c3c(n2C)C(=O)CC3)c(F)c1,,1.186,15.6,ChEMBL,,CHEMBL2012901,1
C#Cc1ccc(Nc2c(C(=O)NOCCO)c3c(n2C)C(=O)CCC3)c(F)c1,,0.596,5.9,ChEMBL,,CHEMBL2012899,1
C#Cc1ccc(Nc2cc(C)nc3ncnn23)cc1,,,17.5,ChEMBL,,CHEMBL1784564,1
C#Cc1ccc([C@H](C)NC(=O)N(C)C2CCN(C3CCc4cc(-c5cc(C)ncn5)ccc43)CC2)c(Cl)c1Cl,,,147.05,ChEMBL,,CHEMBL4294083,1
C#Cc1ccc2c(c1)C(c1ccccn1)=NCc1c(-c3cnco3)ncn1-2,0.259,,21.7,ChEMBL,,CHEMBL4062225,1
C#Cc1ccc2c(c1)CCCc1nnc(C3CCN(c4ccccn4)CC3)n1-2,,,115.0,ChEMBL,,CHEMBL4759005,1
C#Cc1ccc2c3c([nH]c2c1)C(C)(C)c1cc(N2CCN(CCCCC(=O)NCC4CC5C=CC4C5)CC2)c(CC)cc1C3=O,,,89.5,ChEMBL,,CHEMBL5564977,1
